Job number,Brand,Project title,Project description,Client,Start date,Delivery date,Actioned by,Comments,PPI job reference
1,Kings,Kings rebrand,"Research, design and create revised brand for Kings.",AG,02/03/2009,02/05/2009,JA/EC,Style guide in progress. JA to complete V1 for AG approval.,
2,Kings,Staff research document,Design and locally print questionnaire for teachers asking about the Kings brand and what they want to see on the revised website. 30 docs for each centre ,AG,02/03/2009,02/03/2009,JA,,
3,Kings,Turkey promotional flyer,,JF,09/03/2009,11/03/2009,JA,Jose mailed first draft,
4,Kings,Thailand promotional flyer,,KH,09/03/2009,11/03/2009,JA,,
5,Kings,Agent certificates,"Names applied to printed certs, framed and taken to Bournemouth for dispatch",AG,06/03/2009,11/03/2009,WMS,To de delivered,
6,Kings,Diploma certificates,Adapt general Kings cert with graduation info,AG,06/03/2009,15/03/2009,JA,Perfect Print to print litho,
7,Kings,Academic banner,Adapt existing artwork,Simon Fenn,09/03/2009,20/03/2009,JA,Perfect Print to print new or onto existing unit. Also to source solid holders.,
8,Prime,Business cards,NEW Kings cards for Karen Bradley,"KB, T",30/03/2009,08/04/2009,JA,Delivered,
9,Kings,Souvenir document for BSI agents,Record of the day BSI agents spent with AG and WMS in London and Oxford.,AG,09/03/2009,20/03/2009,JA,At print,
10,Kings,Arabic flyer,"Overview of Kings courses to include academic, language and summer courses. Refs to specific points of interest inc payer mats, halal, etc.
",AG,09/03/2009,30/04/2009,JA,,
13,Kings,LTM ad,Celebration and congratulation of 40 year history of StudyWorld with ref to Kings longevity.,AG,09/03/2009,10/03/2009,JA/AG,,
14,Prime,Online Student questionnaire,Create an online form which enables WMS to capture student details and also share photograph galleries with student ''models',WMS,09/03/2009,13/03/2009,JA,Waiting feedback from Nick regarding upload details,
15,Kings,English banner,Resize existing artwork for KH,KH,10/03/2009,10/03/2009,JA,,
16,Prime,Studio,Design and order graphics and presentation boards for studio. Look at shelving unit options. James to design graphics for door and entrance area.,JA,11/03/2009,11/03/2010,JA,Just photography box and brochure display to complete,
17,Kings,1 page summary USP - Academic,Branded summary of key differentators for academic products,AH,11/03/2009,10/04/2009,JA,In market,K/ 0017/ Acad Diff
18,Kings,Alumni document,PDF based doc highlighting current batch of alumni. Based on Photobook template.,AH,02/04/2009,09/04/2009,WMS/JA,With AG for final comments,
19,Kings,Kings Website,"Design and create content for Kings website, CubeWorks to build. Need initial templates designs by 17/4 for first formal meeting.",AG,02/03/2009,25/08/2009,JA/AG/WMS,JA developing v2 templates,
20,Kings,Vietnam educational fair,Create one x flyer and 2 x  ads for fair,KH,18/03/2009,19/03/2009,WMS/JA,,
21,Kings,Country specific promotion flyers,"Based on job 4, create a flyer for Taiwan, Thailand and Japan",KH,23/03/2009,27/03/2009,JA,,
22,Kings,Albania student posters,Focus on alumni and current students,SF,31/03/2009,10/04/2009,JA,,
24,Kings,Ppt presentation ,Powerpoint of 07-08 student uni destinations,AH/SF,30/03/2009,31/03/2009,AG,,
25,Kings,Branded documents,Formal documentation for university partnership development,SB/AH/NN,31/03/2009,31/03/2009,AG,,
26,Kings,Display images for cafeteria,Set of themed prints for London/Bournemouth new cafe area. ,AG,31/03/2009,30/04/2009,WMS,Complete,
27,Kings,CMU letterhead and comp slips,,KB,08/04/2009,29/04/2009,JA,Delivered,
28,Kings,NARP,New Agent Registration branded documents,AH,14/04/2009,21/04/2009,AG,,
29,Kings,Homestay flyer Bournemouth,Flyer to distribute to local houses,DW,14/04/2009,21/04/2009,JA,With DW,
30,Kings,Key contacts,Convert key contacts pages from Agent Manual into one page of A4 for email,AH,15/04/2009,17/04/2009,JA,WMS to shoot KB. This and new shot of Irene (London registrar) to be inserted.,
31,Kings,Art Foundation flyer,Promote new Art Foundation for Sept 09 start. Probably PDF for local printing and email,SF/AH,27/04/2009,05/05/2009,JA/AG,Develop for 12pp for print,
32,Kings,Turkish Alumni pdf,Create bespoke pdf focused on Turkish academic students and alumni,JF,27/04/2009,28/04/2009,WMS,,
33,Kings,Alumni poster set,Finalise set of market-specific alumni posters,AG,27/04/2009,28/04/2009,WMS,,
34,Kings,Direct app form,Update and re-format word doc for direct applications,AG,27/04/2009,28/04/2009,AG,,
35,Kings,Foundation syllabus,Re-brand and update,NN,27/04/2009,29/04/2009,AG,,
36,Kings,Foundation Assessment Handbook,Re-brand and update,NN,27/04/2009,29/04/2009,AG,,
37,Kings,Vacation promo,Single sheet pdf for Vacation course promotion,AH,29/04/2009,05/05/2009,JA,,
38,Kings,Activities template,"Co-ordinated, branded template for use by all activities staff",AH,29/04/2009,01/05/2009,AG,,
40,Kings,"Pro Inter Ed, Thailand advert",Double page ad as per KH instructions,KH,18/05/2009,25/05/2009,JA,,
42,Kings,Photo display in London,Create bespoke series of prints for London school - cafeteria,AG/AT,18/05/2009,15/06/2009,WMS,,
43,Kings,Summer schools flyer,Flyer to be sent to UK private schools to generate interest in hosting summer schools.,NP,27/05/2009,15/06/2009,JA,Concept developed.,
44,Kings,Iranian flyer,Translate into Persian existing promo flyer,SB,04/06/2009,11/06/2009,AG,,
45,Kings,Branded material for photoshoot,Create mock ups of branded items for use in shoot at Bournemouth and elsewhere,AG,10/06/2009,30/07/2009,WMS/JA,,
46,Kings,LTM Ad sept 09,New brand/new season launch ad,AG,10/06/2009,17/07/2009,JA,To include brochure cover thumbnails,
47,Kings,2010 Academic brochure,,AG,12/06/2009,31/08/2009,JA,At print. PDFs to be created,K/ 0047/ Acad Bro
48,Kings,2010 English brochure,,AG,12/06/2009,31/08/2009,JA,At print. PDFs to be created,K/ 0048/ Eng Bro
50,Kings,Phonecard,Design and brand a phonecard with new Kings branding and imagery,AG,18/06/2009,31/08/2009,JA,,
52,Kings,Nigeria ad,Appointments for interview ad Lagos,AH,23/06/2009,23/06/2009,JA,,
53,Prime,New website,Gut and re-do!,AG,21/09/2009,25/12/2009,JA,,
56,Kings,School League Table pdf,Create emailable doc showing position of Kings in relation to other UK independent schools,AG,01/07/2009,05/07/2009,JA,,
57,Kings,Colombia flyer,Promo for columbian market,JF,02/07/2009,02/07/2009,JA,,
58,Kings,iAE Study Abroad mag,2 x 1 page ads for Korean agency mag. ,KH,14/07/2009,31/07/2009,JA,,
59,Kings,Good ~Schools Guide ad,Chinese lang ad in local guide. Artwork and text to be supplied for translation,AH,28/06/2009,15/07/2009,JA,,
60,Kings,Columbian ad,General Kings product with special prices for Columbian market,JF,16/07/2009,31/07/2009,JA,,
61,Kings,IAE University Guidance mag,Korea publication promoting uni in UK,KH,14/07/2009,31/07/2009,JA,,
62,Kings,Welcome folder,"Create multi-purpose polyprop folder suitable for brochures, welcome packs, etc.",AH,21/09/2009,24/12/2009,JA,Sent to print,
63,Kings,IATEFL ad,quarter page ad of congrats,AG,21/09/2009,18/09/2009,JA,,
64,Kings,Saudi ad,,AH,15/08/2009,15/08/2009,JA,,
65,Kings,LTM digital ad,,AG,21/08/2009,21/08/2009,JA,,
66,Kings,Hotcourses profiles,video plus text profiles,AG,21/09/2009,17/09/2009,WMS/AG,,
67,Kings,Ed Fair Image Slideshow for laptop,Aperture slideshow of 60-80 images,AG,04/09/2009,04/09/2009,WMS/JA,,
68,Kings,English courses price sheet,,AG,04/09/2009,04/09/2009,JA,,
69,Kings,Academic courses price sheet,,AG,04/09/2009,04/09/2009,JA,,
70,Kings,English courses app form/T&C/prices,To fit within new brochures,AG,21/09/2009,11/09/2009,JA,,
71,Kings,Academic app/T&C/prices,To fit within new brochures,AG,21/09/2009,11/09/2009,JA,,
72,Kings,Business cards,New cards for all required Kings staff,AG,21/09/2009,04/09/2009,JA/WMS,AG to provide definitive list of required cards. WMS to shoot,
73,Kings,Letterhead x 4 ,"Bournemouth, Oxford, London, Hove",AG,07/09/2009,08/09/2009,JA,,
74,Kings,Powerpoint template,Template with new branding,AG,28/08/2009,28/08/2009,JA,,
75,Kings,Summer Schools brochure,Develop concepts and build,AG,07/09/2009,05/10/2009,JA/WMS/AG,,K/ 0075/ Summ Bro
76,Kings,Russian flyer - revise,Old flyer with David Manasyan in place of existing student,AH,28/08/2009,28/08/2009,JA,,
78,Kings,New Powerpoint docs,Templates and content,AG,07/09/2009,25/09/2009,JA/AG,,
79,Kings,Image CD/PDF,All new marketing shots available for agents,AG,07/09/2009,25/09/2009,WMS,,
80,Kings,Agent manual 2010,A4 PDF with all new info. Downloadable in sections?,AG,07/09/2009,25/09/2009,JA,,
81,Kings,Branded gifts for agents,Uniquely Kings gift for sales guys to take into market,AG,07/09/2009,02/10/2009,JA/SL,Ongoing,
82,Kings,New poster set,General/English/Academic posters for agents offices,AG,07/09/2009,02/10/2009,JA,,K/ 0082/ Poster
83,Kings,Word doc templates,Portrait and landscape for staff download,AG,07/09/2009,12/09/2009,JA,,
84,Kings,External Signage,"New signage for all colleges, now includes van graphics for Bournemouth",AG,07/09/2009,31/01/2010,JA,To include St Michael's Street,
85,Kings,Rebrand existing documents,"Eng Lang suitability test, Foundation notes for universities, Maths test, Alumni posters by market x10, Certificate of representation, Diploma of English folders",AG,07/09/2009,25/09/2009,JA,,
86,Kings,Summer Schools downloadable factsheet,In advance of main brochure for agents,AG,07/09/2009,25/09/2009,JA,,
89,Kings,English brochure condensed,Uncoated section housed within 6pp foldout. Design TBC,AG,07/09/2009,31/10/2009,JA,English flyer to replace,
90,Kings,Diploma of English folders,Revised artwork for rollout,AG,11/09/2009,11/09/2009,JA,,
91,Kings,Academic flyer and poster,In-colleges and local marketing of academic programmes for Jan 2010,AG,28/09/2009,07/10/2009,JA,,
92,Kings,Alumnus doc rebrand and redesign,To be replaced by regional posters for now.,AG,28/09/2009,07/10/2009,JA,,
94,Kings,Banner set,New branded banners for academic and general,AG,07/10/2009,10/10/2009,JA,,
95,Kings,Jose in-market promo flyers,"For Turkey, Mexico and Brasil. To follow look and feel of previous flyers with new imagery",JF,12/10/2009,21/10/2009,JA,,
96,Kings,Alumni interest card,Produce a hand-out to attract alumni students to produce material for us,WMS,20/10/2009,13/11/2009,JA,,
98,Kings,ICEF Summer flyer,Condensed giveaway for the ICEF fair,AH,28/10/2009,29/10/2009,JA,,
99,Kings,Certificate set,All Kings course certificates,AG,06/11/2009,13/11/2009,JA,,
100,Kings,Accommodation booklet,Group-wide consolidated booklet for HF inc local info section,NP,09/11/2009,10/12/2009,AG/JA,At print. Back 26/2,
101,Kings,Surfing prints,2 or 3 large surf prints for Bournemouth upper canteen back wall,AG,09/11/2009,20/11/2009,WMS,Incomplete,
102,Kings,In-class display,"UK, World map plus phonemic chart - all branded. Plus classroom toolkit (prev 119)",AG,09/11/2009,20/12/2009,AG/JA,First stage in progress (fire signs for KO),
103,Kings,HF distance graphic,Create simplified graphic indicating distance of HF from college by postcode,AG,09/11/2009,30/11/2009,AG/JA,Incomplete. To be incorporated into main brochures,
104,Kings,Staff performance sheets,Branded word doc template for one-to-one staff reviews,NP,09/11/2009,15/11/2009,AG/JA,,
105,Kings,Banner ad,web banner ad for Chinese school guide,AG,12/11/2009,16/11/2009,JA,,
106,Kings,LTM ad January,Half page ad as start of a series (1 year?),AG,12/10/2009,16/10/2009,JA,,
107,Kings,LTM Ad Feb,ADvertising free mobile phone and broadband,AG,26/11/2009,04/12/2009,JA/WMS,,
108,Kings,Scholarship flyer,Simple flyer to gve to current ac students before end of term,AG,27/11/2009,10/12/2009,AG/JA,,
109,Kings,In touch pack,Make pack to contain the Kings in touch components,AG,,,JA,Incomplete,
110,Kings,Kings London Accom poster,revise old poster with new branding,JA,01/12/2009,01/12/2009,JA,,
111,Kings,Common Room development,"Creation and development of blog, comment, news and forum functionality",WMS,01/11/2009,01/02/2010,WMS,,
112,Kings,Russian academic flyer,6 page overview flyer in Russian,AH,07/12/2009,31/12/2009,JA,,
114,Kings,Iranian Academic flyer,Work with Navid to produce Iranian version of generic 8-pp flyer,AH,07/12/2009,31/12/2009,JA,Deadline moved as fair delayed. With SN for approval.,
115,Kings,Principal job ad,EL Gazette sits vac ad,NP,08/12/2009,11/12/2009,JA,,
116,Kings,Russian poster,featuring David M,OG,10/12/2009,15/12/2009,JA,,
117,Kings,2009 grad list,update current table to include 2009 grads,AG,10/12/2009,15/12/2009,JA,,
118,Kings,Korean testimonial PDF,Make a PDF for KH to send to agents,KH,11/12/2009,11/12/2009,JA/WMS,,
120,Kings,Christmas card 2009,Electronic Chrimbo card for email to agents and partners,AG,17/12/2009,18/12/2009,JA,,
121,Kings,Summer camp maps,Kings branded site maps of the summer camps,AH,24/12/2009,24/01/2010,JA,,
122,Kings,Vacation course prices,Insert for Vac brochure,AG,24/12/2009,24/01/2010,JA,,K/ 0122/ Summ Insert
123,Kings,LTM March 2010,Promoting summer courses inc new destinations,AG,06/01/2010,21/01/2010,WMS/JA,,
127,Kings,UK Study ad,Inside front over of The Student Counsellor,AH,13/01/2010,15/01/2010,AG/JA,,
128,Kings,Kings Tablecloth,To fit 1m x 1.5 metre tables. Need 12,AH,13/01/2010,15/01/2010,JA,,
130,Kings,LTM March,Advertise summer courses.,AG,14/01/2010,22/01/2010,WMS/JA/AG,,
131,Kings,Kaylee ad,For full page A5 age in brochure,KH,14/01/2010,22/01/2010,JA,,
132,Kings,Vietnam fair flyer and posters,Mash the Kings Difference with translated text and some images. Include Vietnamese student from Oxford,KH,15/01/2010,19/01/2010,JA,,
133,KIngs,Pre-Masters flyer,Chinese translation of pre-Masters 6 page flyer ,AH,18/01/2010,14/02/2010,AG/JA,,
135,Kings ,Chinese banners,Translated and produced in China - Academic focus,AH,19/01/2010,15/02/2010,JA,,
136,Kings,Chinese academic flyer,Per template of Vietnam flyer with course info,AH,26/01/2010,14/02/2010,JA/AG,,
137,Kings,Turkish ad — ATLAS,"General Ad to go in 2010 Study Abroad Mag. ATLAS agency, 205 x 265mm.",JF,26/01/2010,05/02/2010,JA,,
138,Kings,Turkish ad — Global Vizyon,General Ad to go in Global Vizyon ad. Double page A4,JF,26/01/2010,05/02/2010,JA,,
139,Kings,Summer school flyer,Bigger picture version to send to China for translation and local print,AH,28/01/2010,05/02/2010,JA/AG,,
140,Kings,LTM April,Academic For English Study ad. Plus web tie in.,AG,01/02/2010,19/02/2010,JA/WMS,Complete,
141,Kings,LTM May,Walking distance to college guarantee,AG,01/02/2010,19/03/2010,JA/WMS,,
142,Kings,LTM June,Common Room launch,AG,01/02/2010,16/04/2010,JA/WMS,,
143,Kings,Rubber stamps,Stamps for visa applications. One for each college,AG,01/02/2010,01/02/2010,JA,,
144,Kings,VIDEO Chinese New Year,Create an emailable (or on website) video for agents on the Chinese new year,AH,01/02/2010,01/02/2010,WMS,Complete,
145,Kings,Regional posters,Create a template for regional specific 'heroes' with quote space.,AG,02/02/2010,03/02/2010,JA,,
146,Kings,Turkish overview flyer,Flyer per same spec as Arabic/farsi for Turkish market,JF,12/02/2010,28/02/2010,AG/JA,,
147,Kings,Taiwan ad,Adapt existing ad (131) for Taiwanese market.,KH,05/02/2010,14/02/2010,JA,,
148,Kings,EDM Korea Ads,2x A4 ads in EDM brochure. Adapt Regional Poster for two Koreans,KH,18/02/2010,25/02/2010,JA,,
149,Kings,Promo flyers,"Thailand, Taiwan and Japan promo flyers",KH,11/02/2010,23/02/2010,JA,,
150,Kings,Turkish ad,1/2 page ad for Jose's market,JF,23/02/2010,02/03/2010,JA,,
151,Kings,English lang flyer,Overview 6 pager in English,JF,23/02/2010,07/03/2010,JA/AG,,
152,Kings,UK Study Ad,Quick re-hash of generic ad made into A4,AH,01/04/2010,01/04/2010,JA,,
153,Kings,Agent cert,Design and print the final print certs,AH,01/03/2010,14/03/2010,JA,,
154,Kings,Japanese market video,Kings Bournemouth focus video for Japanese market,KH,01/03/2010,26/03/2010,WMS,,
155,Kings,Website V2,Update and refine web structure to accommodate SEO and improve interface,AH,01/03/2010,26/03/2010,JA,,
156,Kings,China ad,Ad for GEA Miracle based on earlier one for British Education,AH,12/03/2010,15/03/2010,JA,,
157,Kings,ICEF deal sheet,Produce Kings branded sheet based on OG text. Print 100 copies.,OG,16/03/2010,18/03/2010,JA,,
158,Kings,Who's who,,AH,09/04/2010,12/04/2010,JA/AG,In progress. Not complete until VI starts in London,
159,Kings,2011 Academic Brochure,,AG,12/04/2010,06/08/2010,JA/AG/WMS,Initial concepts and shoot timeline to be defined,
160,Kings,2011 English Brochure,,AG,12/04/2010,06/08/2010,JA/AG/WMS,Initial concepts and shoot timeline to be defined,
161,Kings,2011 Summer brochure,,AG,12/04/2010,13/08/2010,JA/AG/WMS,Initial concepts and shoot timeline to be defined,
162,Kings,pdf documents for upload,,AG,14/04/2010,16/04/2010,JA/AG,Complete bar the knockings,
163,Kings,Summer branded items,,AG,14/04/2010,16/06/2010,JA,,
164,Kings,Japanese mag ad 'Anokuni',Short turn-around ad for Kaylee,KH,15/04/2010,19/04/2010,JA,Done,
165,Kings,Schools Guide ad,Update from last year - half page,AH,20/04/2010,28/04/2010,JA,,
166,Kings,Branded envelopes,"C4 and C5 (1000 of C4 to all, 1000 of C5 to Oxf and Lon)",AG,20/04/2010,27/04/2010,JA,At print,
167,Kings,Olympiad first prize certificate,For Mark Poolton to take to educational fair,OG,08/04/2010,07/04/2010,JA,,
168,Kings,Specialist Activities flyer,PDF and web update,AH,21/04/2010,29/04/2010,JA,,
169,Kings,Saudi and Libya promo flyers,For AH to take on marketing trips. Based on job 95,AH,21/04/2010,22/04/2010,JA,,
170,Kings,Albanian banners,Academic with joint branding a/w only,SF,21/04/2010,30/04/2010,JA/AG,,
171,Kings,LTM July,Art courses,AG,21/05/2010,14/05/2010,JA/WMS,,
172,Kings,LTM Aug,Exam courses,AG,21/06/2010,11/06/2010,JA,,
173,Kings,Multi country promo flyer,Update J.95,JF,27/07/2010,04/05/2010,JA,,
174,Kings,Saudi summer flyer,Overview ,AH,04/05/2010,08/05/2010,JA/AG,,
175,Kings,Leweston flyer,,AH,11/05/2010,17/05/2010,JA,,
176,Kings,2011 EFL price sheet,,AH,11/05/2010,19/05/2010,JA,,
177,Kings,Diploma Certificate template,"Based on J 99, update all location based certificates for Foundation (Diploma)",SF,17/05/2010,20/05/2010,JA,,
178,Kings,LTM Sept,New Horizons,AG,24/05/2010,16/07/2010,JA,,
179,Kings,LTM October,New star in Hollywood,AG,24/06/2010,16/08/2010,JA,,
180,Kings,LTM November,English Plus,AG,24/07/2010,16/09/2010,JA,,
181,Kings,LTM December,Last one!,AG,24/08/2010,08/10/2010,JA,,
182,Kings,Notice paper,Based on letterhead,AG,26/05/2010,27/05/2010,JA/AG,,
183,Kings,ESL offer doc,Update from earlier version,AH,,27/05/2010,JA,,
184,Kings,Poster of Foundation pathways,,SB,,27/05/2010,JA,,
185,Kings,Urgent pre-launch LA flyer,,AH,,08/06/2010,JA,,
187,Kings,Chinese web banner,,AG,,08/06/2010,JA,,
188,Kings,Nigerian Ad,Update on last year,AH,11/06/2010,11/06/2010,JA,,
189,Kings,Materials for photo shoots,"T-shirts, props and branded matériel",JA,,11/06/2010,JA,,
190,Kings,Thai testimonial sheet,Quick turn-around for kaylee,KH,22/06/2010,22/06/2010,JA,,
191,Kings,Residence flyer — Slade Park,pre brochure factsheet for agents,JL,27/07/2010,27/07/2010,JA,,
192,Kings,Residence flyer — Canary Wharf,pre brochure factsheet for agents,JL,27/07/2010,27/07/2010,JA,,
193,Kings,Promo flyers,"Thailand, Taiwan and Japan promo flyers for KH",KH,02/08/2010,09/08/2010,JA,,
194,Kings,Japanese ad,Hlf page ad for Japanese agent (190 x 135mm landscape),KH,03/08/2010,13/08/2010,JA,,
195,Kings,Summer update,Pre-Study World info pack about the summer courses,AH,04/08/2010,13/08/2010,JA/AG,,
197,Kings,Orlando Flyer,,,20/08/2010,13/08/2010,JA,,
198,Kings,Summer mini brochure 2011,Digital brochure for fairs,AH,25/08/2010,03/09/2010,JA,,
199,Kings,Diploma of English certificate,For proper print,AG,26/08/2010,06/09/2010,JA,,
200,Kings,Academic price list,,AG,27/08/2010,06/09/2010,JA,,
201,Kings,iAE fam trip materials,"Folders, cards and tshirts to support fam trip",KH,27/08/2010,06/09/2010,JA,,
202,Kings,iPad graphics and galleries,,AG,27/08/2010,06/09/2010,JA,,
203,Kings,Materials Request 2011,,DW,10/09/2010,10/09/2010,JA,,
204,Kings,Student testimonial sheets,Based on 118,KH/NA,08/09/2010,15/09/2010,JA/KB,,
205,Kings,2011 Marketing DVD,Update visuals and content,AG,15/09/2010,22/09/2010,JA/KB/WMS,,
206,Kings,Promo flyers — Colombia,Update from 57 (although with 193 styling),JF,06/09/2010,17/09/2010,JA/KB,,
207,Kings,Banners for KH,Temporary solution for KH at local fairs. Update of Kings general,KH/NA,17/09/2010,17/09/2010,JA,,
208,Kings,Accommodation booklet 2011,Update of all new accommodation facilities  - print and pdf,AH,17/09/2010,15/10/2010,JA/WMS,,
209,Kings,Agent manual 2011,,AH/JF,17/09/2010,05/10/2010,JA/AG/EC,Awaiting approval from AG,
210,Kings,Pre-arrival info pack,pdf to email/download,AH,17/09/2010,20/10/2010,JA/AG/EC,Awaiting approval from AG,
212,Kings,2011 powerpoints,,AH,17/09/2010,24/09/2010,AG/WMS,,
213,Kings,"St John""s proposal document",Detailed formal proposal doc on strategic partnership,NP/AG/AH,27/09/2010,01/10/2010,AG/JA,,
214,Kings,University destinations 2010 update,New list,AH,29/09/2010,01/10/2010,AG,,
215,Kings,Summer video,,AG,,01/10/2010,WMS,,
216,Kings,OG/AH fair flyers,Summer and low season flyers for Olga Goss and Andrew Hutchinson to take to Russian fair,OG / AH,30/09/2010,17/10/2010,JA,,
217,Kings,iPad gallery home screen graphic,"Page (1024 x 748) of multiple images for iPad galleries home screen. Need space for 9 text links (All 4 Colleges, all 5 Summer Camps).","AH, JF",13/10/2010,13/10/2010,JA/WMS,,
218,Kings,Summer res flyers update,All residence info updated for revised flyers,"AH, JF",13/10/2010,15/10/2010,JA,,
219,Kings,2010 grad list,,AH,10/10/2010,14/10/2010,AG,,
220,Kings,UAE web banner,,AH,14/10/2010,15/10/2010,JA,,
221,Kings,Scholarship certificate,,KH,18/10/2010,27/10/2010,JA,,
222,Kings,Summer courses insert,,AG,,27/10/2010,JA,,
224,Kings,KH Japan mag ad,General English courses and selected Uni Prep,KH,18/10/2010,01/11/2010,JA/WMS/AG,,
225,Kings,NYC Summer fact sheet,Based on the residential Factsheets,AG,25/10/2010,25/10/2010,JA,,
226,Kings,iAE 2011 ad,,KH,27/10/2010,15/11/2010,JA/AG,,
227,Kings,LTM January 2011,New format and campaign for 6 x LTM ads for the year. 5 x A4 and 1 x A3,AG,01/11/2010,05/11/2010,AG/JA/WMS,,
228,Kings,Vietnam Jan A-level flyer,,KH,03/11/2010,05/11/2010,AG/JA,,
